NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",São Paulo,22,F,1,branca,1,1,não_respondeu,,,1,1,1,1,516.5,543.7,544.7,503.3,Espanhol,1.0,120.0,120.0,100.0,120.0,100.0,560.0,Sim
"1,90E+11",São Paulo,19,M,1,branca,1,1,não_respondeu,,,1,1,1,1,558.6,574.8,595.1,599.2,Inglês,1.0,120.0,140.0,140.0,100.0,100.0,600.0,Sim
"1,90E+11",São Paulo,23,F,1,branca,1,1,não_respondeu,,,1,1,1,1,506.3,55.2,546.2,488.7,Espanhol,1.0,120.0,120.0,100.0,100.0,40.0,480.0,Sim
"1,90E+11",São Paulo,18,F,1,branca,1,1,não_respondeu,,,1,1,1,1,622.4,584.2,620.4,601.8,Inglês,1.0,160.0,120.0,160.0,160.0,160.0,760.0,Sim
"1,90E+11",São Paulo,18,F,1,branca,2,2,privada,35103861.0,São Paulo,1,1,1,1,549.4,510.9,560.7,616.9,Inglês,1.0,120.0,120.0,120.0,120.0,120.0,600.0,Sim
"1,90E+11",São Paulo,25,M,1,branca,1,1,não_respondeu,,,1,1,1,1,489.5,494.4,55.2,57.1,Inglês,1.0,120.0,120.0,120.0,120.0,100.0,580.0,Sim
"1,90E+11",São Paulo,19,M,1,branca,1,1,não_respondeu,,,1,1,1,1,409.8,482.2,519.5,40.0,Inglês,1.0,120.0,100.0,80.0,120.0,0.0,420.0,Sim
"1,90E+11",São Paulo,19,M,1,branca,1,1,não_respondeu,,,1,1,1,1,543.5,55.3,561.5,713.9,Inglês,1.0,120.0,120.0,140.0,120.0,120.0,620.0,Sim
"1,90E+11",São Paulo,20,F,1,preta,1,1,não_respondeu,,,1,1,1,1,452.7,429.8,394.2,407.2,Inglês,1.0,100.0,120.0,100.0,120.0,0.0,440.0,Sim
"1,90E+11",São Paulo,17,M,1,branca,1,2,privada,,,1,1,1,1,464.4,597.7,571.9,537.3,Espanhol,1.0,120.0,120.0,100.0,120.0,120.0,580.0,Sim
"1,90E+11",São Paulo,17,M,1,branca,1,2,pública,35290415.0,São Paulo,1,1,1,1,418.5,528.3,50.9,55.6,Inglês,1.0,140.0,120.0,120.0,120.0,100.0,600.0,Sim
"1,90E+11",São Paulo,40,F,1,branca,1,1,não_respondeu,,,1,1,1,1,497.1,473.9,537.5,476.3,Espanhol,1.0,120.0,160.0,120.0,100.0,40.0,540.0,Sim
"1,90E+11",São Paulo,24,M,1,branca,1,1,não_respondeu,,,1,1,1,1,540.8,569.3,54.6,596.8,Inglês,1.0,120.0,140.0,140.0,120.0,100.0,620.0,Sim
"1,90E+11",São Paulo,17,F,1,branca,1,2,privada,,,1,1,1,1,502.1,512.2,571.7,534.9,Espanhol,1.0,160.0,180.0,160.0,140.0,180.0,820.0,Sim
"1,90E+11",São Paulo,24,M,1,branca,1,1,não_respondeu,,,1,1,1,1,549.3,59.0,589.7,667.4,Inglês,1.0,140.0,200.0,140.0,120.0,40.0,640.0,Sim
"1,90E+11",São Paulo,32,M,2,parda,1,1,não_respondeu,,,1,1,1,1,56.9,552.6,56.2,555.6,Espanhol,1.0,140.0,120.0,120.0,120.0,100.0,600.0,Sim
"1,90E+11",São Paulo,18,M,1,parda,1,1,não_respondeu,,,1,1,1,1,517.8,508.8,58.1,582.6,Espanhol,1.0,120.0,120.0,120.0,120.0,80.0,560.0,Sim
"1,90E+11",São Paulo,26,F,1,preta,1,1,não_respondeu,,,1,1,1,1,557.1,432.5,590.1,424.6,Inglês,1.0,120.0,120.0,80.0,120.0,40.0,480.0,Sim
"1,90E+11",São Paulo,21,M,2,parda,1,1,não_respondeu,,,1,1,1,1,477.7,50.3,497.6,618.8,Inglês,1.0,100.0,100.0,100.0,80.0,100.0,480.0,Sim
"1,90E+11",São Paulo,19,M,1,branca,1,2,privada,,,1,1,1,1,430.3,466.1,510.4,522.7,Espanhol,1.0,120.0,200.0,120.0,120.0,120.0,680.0,Sim
"1,90E+11",São Paulo,18,F,1,parda,1,1,não_respondeu,,,1,1,1,1,380.3,511.1,505.7,515.5,Espanhol,1.0,100.0,120.0,120.0,120.0,100.0,560.0,Sim
"1,90E+11",São Paulo,32,M,1,parda,1,1,não_respondeu,,,1,1,1,1,617.3,677.5,598.9,80.0,Espanhol,1.0,140.0,160.0,160.0,120.0,80.0,660.0,Sim
"1,90E+11",São Paulo,21,M,1,preta,1,1,não_respondeu,,,1,1,1,1,495.8,583.3,561.2,631.8,Espanhol,1.0,140.0,140.0,160.0,120.0,120.0,680.0,Sim
"1,90E+11",São Paulo,19,F,1,amarela,1,1,não_respondeu,,,1,1,1,1,486.7,429.1,442.5,385.9,Inglês,1.0,100.0,80.0,60.0,100.0,40.0,380.0,Não
"1,90E+11",São Paulo,20,M,1,branca,1,1,não_respondeu,,,1,1,1,1,578.9,66.2,60.1,692.5,Inglês,1.0,120.0,200.0,160.0,120.0,140.0,740.0,Sim
"1,90E+11",São Paulo,19,M,1,branca,1,1,não_respondeu,,,1,1,1,1,503.9,537.7,558.3,515.2,Inglês,1.0,120.0,120.0,140.0,140.0,180.0,700.0,Sim
"1,90E+11",São Paulo,26,M,1,branca,1,1,não_respondeu,,,1,1,1,1,630.9,567.8,569.7,672.1,Inglês,1.0,120.0,180.0,120.0,120.0,100.0,640.0,Sim
"1,90E+11",São Paulo,48,M,2,branca,1,1,não_respondeu,,,1,1,1,1,585.4,625.1,599.9,698.5,Inglês,1.0,140.0,140.0,140.0,100.0,40.0,560.0,Sim
